	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ABCC6P2	3.19555620559818	6.4159047223061	10.8188339069787	8.03147456296894	12.2417996278034	4.45473172139686	4.15557108801867	6.68653436989692
ABCC8	41.5422306727763	52.3965552321665	64.0807854490274	58.8974801284389	81.1019225341975	65.0390831323941	41.5557108801867	73.5518780688662
ABCC9	1.27822248223927	5.34658726858841	4.99330795706707	8.03147456296894	1.53022495347543	0.890946344279371	5.19446386002334	4.01192062193816
ABCD1	263.31383134129	250.220284169938	201.396754268372	263.253888452871	166.794519928821	227.19131779124	259.723193001167	230.016782324454
ABCD2	19.1733372335891	18.1783967132006	59.9196954848049	56.2203219407826	52.0276484181645	45.4382635582479	41.5557108801867	58.8415024550929
ABCD3	3220.48154400185	3086.05017142923	2663.09757710244	2626.29218209084	3280.80230025131	3184.24223445447	3211.21755826643	3050.39697954698
ABCD4	1222.61980426186	1215.81394487701	1134.31312424707	1158.31710919263	1065.0365676189	1216.14175994134	1178.10440345329	1315.90996399571
ABCE1	4903.26144186985	4577.7480193654	3640.1215007019	3527.60210526847	4157.62119859273	4246.25027683548	4360.23296410359	4003.89678069428
ABCF1	6876.19784320616	6631.90684795707	5123.13396395082	5172.269618552	4743.69735577382	6346.21081030196	5998.56686555495	6118.17894845569
ABCF2	4556.863149183	4289.03230686163	2723.84949058009	2641.46274515423	2587.61039632694	3829.28738771274	3717.1583382327	3563.92281915506
ABCF3	1262.24470121128	1123.85264385728	882.983290408027	901.309923177626	859.986423853189	978.25908601875	897.603355012032	969.547483635054
ABCG1	47.9333430839727	39.5647457875543	156.456982654768	140.996997883233	154.552720301018	112.259239379201	121.550454324546	119.020311784165
ABCG2	170.642701378943	179.645332224571	172.269124518814	168.660965822348	208.110593672658	243.228351988268	278.423262897251	251.413692308124
ABCG4	98.4231311324239	118.694237362663	147.302584733479	177.584826447869	165.264294975346	118.495863789156	155.8339158007	143.091835515794
ABCG5	0.639111241119636	0	1.66443598568902	1.78477212510421	0	1.78189268855874	5.19446386002334	2.67461374795877
ABCG8	0	1.06931745371768	2.49665397853354	4.46193031276052	1.53022495347543	0.890946344279371	2.07778554400933	1.33730687397938
ABHD1	23.6471159214265	39.5647457875543	66.577439427561	59.789866190991	48.9671985112136	36.5288001154542	31.16678316014	48.1430474632579
ABHD10	2345.53825490906	2351.42908072518	2012.30310669803	1962.35695155208	2336.65350395697	2167.67245563171	2192.06374892985	2019.33337970887
ABHD11	410.948528039926	413.825854588743	481.854217856972	557.741289095065	495.792884926038	549.713894420372	504.901887194268	546.958511457568
ABHD11-AS1	1.27822248223927	2.13863490743537	1.66443598568902	0	0	1.78189268855874	0	8.02384124387631
ABHD12	1275.02692603367	1090.70380279204	880.486636429494	907.556625615491	849.274849178861	926.584198050546	883.058856203967	895.995605566188
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	523.432106476982	542.143949034865	720.700781803347	680.890565727256	742.159102435581	570.205660338798	577.624381234595	498.815463994311
ABHD14A	116.318245883774	81.2681264825439	104.859467098409	121.364504507086	74.9810227202958	110.477346690642	89.3447783924014	112.333777414268
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	406.474749352088	461.945140006039	636.646764526052	752.281450731424	567.713457739383	367.069893843101	360.495791885619	397.180141571877
ABHD15	449.934313748224	477.984901811804	476.860909899905	511.337213842356	483.551085298234	468.637777090949	429.062714837928	447.997802783094
ABHD16A	552.831223568485	512.20306033077	452.726588107414	443.515873088396	431.52343688007	453.4916892382	424.907143749909	423.926279051465
ABHD16B	0.639111241119636	2.13863490743537	1.66443598568902	0.892386062552105	0	1.78189268855874	2.07778554400933	1.33730687397938
ABHD2	2277.15335210926	2296.89389058558	2142.12911358177	2007.86864074224	2171.38920898163	1993.93791849723	1973.89626680887	1916.36075041246
ABHD3	683.84902799801	701.4722496388	613.344660726405	625.562629849025	736.03820262168	710.975182734938	731.380511491286	691.387653847342
ABHD4	510.010770413469	469.430362182063	501.827449685241	481.888473778137	411.630512484889	454.382635582479	419.712679889886	442.648575287176
ABHD5	1180.43846234797	975.217517790527	843.036826751491	832.596196361114	950.269696108239	931.038929771943	891.369998380005	894.658298692209
ABHD6	234.553825490906	224.556665280713	275.464155631533	277.532065453705	261.668467044298	237.882673922592	218.16748212098	227.342168576495
ABHD8	506.815214207871	500.440568339876	494.33748774964	598.791047972462	475.899960530857	556.841465174607	599.441129446693	599.113479542764
ABI1	1848.94882055911	1760.09652881931	1448.05930754945	1423.35576977061	1522.57382870805	1474.51619978236	1448.21652417451	1287.82651964215
ABI2	3442.89225591148	3662.41227898306	4009.62628952486	3930.06821947947	4114.77489989542	4223.08567188422	4284.39379174725	4300.7789067177
ABI3	4.47377868783745	0	2.49665397853354	3.56954425020842	3.06044990695085	1.78189268855874	1.03889277200467	2.67461374795877
ABI3BP	23.6471159214265	26.7329363429421	47.4364255921372	54.4355498156784	81.1019225341975	32.9650147383367	23.8945337561073	36.1072855974434
ABL1	3125.89308031614	2988.74228314092	2470.85522075536	2540.62312008584	2414.69497658422	2808.26287716858	2891.23858448899	2868.52324468578
ABL2	1416.27051032111	1523.7773715477	2406.77443530633	2117.63212643614	2351.95575349173	1341.76519448473	1435.74981091045	1452.31526514161
ABLIM1	2399.22359916311	2501.13352424566	2545.75484011136	2447.81496958042	2589.14062128042	3158.40479047037	3070.9670340458	3113.25040262401
ABLIM2	37.0684519849389	37.4261108801189	55.7586055205823	57.1127080033347	33.6649489764594	40.9835318368511	37.400139792168	34.769978723464
